M1,M2,G1,G2
5.0,85.0,12.271,-9.128
5.0,87.5,11.893,-9.714
5.0,90.0,11.508,-10.314
5.0,92.5,11.114,-10.926
5.0,95.0,10.714,-11.550
5.0,97.5,10.308,-12.184
5.0,100.0,9.897,-12.827
5.0,102.5,9.481,-13.477
5.0,105.0,9.061,-14.133
5.0,107.5,8.638,-14.795
5.0,110.0,8.213,-15.459
5.0,112.5,7.787,-16.126
5.0,115.0,7.359,-16.793
5.0,117.5,6.931,-17.460
5.0,120.0,6.504,-18.124
5.0,122.5,6.079,-18.784
5.0,125.0,5.656,-19.439
5.0,127.5,5.236,-20.087
5.0,130.0,4.820,-20.727
5.0,132.5,4.409,-21.357
5.0,135.0,4.004,-21.976
5.0,137.5,3.605,-22.582
5.0,140.0,3.214,-23.174
5.0,142.5,2.832,-23.750
5.0,145.0,2.460,-24.308
5.0,147.5,2.099,-24.847
5.0,150.0,1.750,-25.365
5.0,152.5,1.414,-25.861
5.0,155.0,1.094,-26.333
5.0,157.5,0.789,-26.778
5.0,160.0,0.502,-27.196
7.5,0.0,18.305,0.053
7.5,2.5,18.301,0.048
7.5,5.0,18.289,0.030
7.5,7.5,18.269,0.000
7.5,10.0,18.240,-0.043
7.5,12.5,18.202,-0.099
7.5,15.0,18.155,-0.169
7.5,17.5,18.098,-0.252
7.5,20.0,18.032,-0.350
7.5,22.5,17.957,-0.462
7.5,25.0,17.871,-0.589
7.5,27.5,17.775,-0.731
7.5,30.0,17.668,-0.890
7.5,32.5,17.550,-1.065
7.5,35.0,17.422,-1.257
7.5,37.5,17.281,-1.466
7.5,40.0,17.129,-1.693
7.5,42.5,16.965,-1.939
7.5,45.0,16.789,-2.203
7.5,47.5,16.600,-2.487
7.5,50.0,16.399,-2.790
7.5,52.5,16.185,-3.114
7.5,55.0,15.958,-3.457
7.5,57.5,15.718,-3.821
7.5,60.0,15.465,-4.206
7.5,62.5,15.199,-4.611
7.5,65.0,14.921,-5.037
7.5,67.5,14.630,-5.483
7.5,70.0,14.327,-5.949
7.5,72.5,14.012,-6.434
7.5,75.0,13.686,-6.939
7.5,77.5,13.348,-7.462
7.5,80.0,13.000,-8.003
7.5,82.5,12.642,-8.560
7.5,85.0,12.275,-9.133
7.5,87.5,11.899,-9.722
7.5,90.0,11.514,-10.324
7.5,92.5,11.123,-10.938
7.5,95.0,10.724,-11.564
7.5,97.5,10.320,-12.201
7.5,100.0,9.910,-12.846
7.5,102.5,9.496,-13.499
7.5,105.0,9.078,-14.157
7.5,107.5,8.657,-14.821
7.5,110.0,8.234,-15.488
7.5,112.5,7.809,-16.157
7.5,115.0,7.383,-16.827
7.5,117.5,6.958,-17.496
7.5,120.0,6.533,-18.162
7.5,122.5,6.109,-18.824
7.5,125.0,5.688,-19.482
7.5,127.5,5.270,-20.132
7.5,130.0,4.855,-20.774
7.5,132.5,4.446,-21.407
7.5,135.0,4.043,-22.028
7.5,137.5,3.646,-22.636
7.5,140.0,3.256,-23.230
7.5,142.5,2.876,-23.808
7.5,145.0,2.505,-24.368
7.5,147.5,2.146,-24.909
7.5,150.0,1.798,-25.430
7.5,152.5,1.464,-25.927
7.5,155.0,1.145,-26.401
7.5,157.5,0.841,-26.848
7.5,160.0,0.555,-27.268
10.0,0.0,18.275,0.096
10.0,2.5,18.272,0.091
10.0,5.0,18.260,0.073
10.0,7.5,18.240,0.043
10.0,10.0,18.211,0.000
10.0,12.5,18.173,-0.056
10.0,15.0,18.126,-0.126
10.0,17.5,18.070,-0.209
10.0,20.0,18.005,-0.307
10.0,22.5,17.929,-0.420
10.0,25.0,17.844,-0.547
10.0,27.5,17.748,-0.690
10.0,30.0,17.642,-0.849
10.0,32.5,17.525,-1.024
10.0,35.0,17.397,-1.217
